Datetime,station_id,traffic,Unnamed: 0,longitude,latitude,route
2022-01-04 03:00:00,615,399.0,0,-112.24906464,40.70954336,80
2022-01-04 04:00:00,615,874.0,0,-112.24906464,40.70954336,80
2022-01-04 05:00:00,615,2161.0,0,-112.24906464,40.70954336,80
2022-01-04 06:00:00,615,3304.0,0,-112.24906464,40.70954336,80
2022-01-04 07:00:00,615,3718.0,0,-112.24906464,40.70954336,80
2022-01-04 08:00:00,615,2863.0,0,-112.24906464,40.70954336,80
2022-01-04 09:00:00,615,2380.0,0,-112.24906464,40.70954336,80
2022-01-04 10:00:00,615,2057.0,0,-112.24906464,40.70954336,80
2022-01-04 11:00:00,615,2068.0,0,-112.24906464,40.70954336,80
2022-01-04 12:00:00,615,2218.0,0,-112.24906464,40.70954336,80
2022-01-04 13:00:00,615,2353.0,0,-112.24906464,40.70954336,80
2022-01-04 14:00:00,615,2674.0,0,-112.24906464,40.70954336,80
2022-01-04 15:00:00,615,3518.0,0,-112.24906464,40.70954336,80
2022-01-04 16:00:00,615,4349.0,0,-112.24906464,40.70954336,80
2022-01-04 17:00:00,615,4219.0,0,-112.24906464,40.70954336,80
2022-01-04 18:00:00,615,2805.0,0,-112.24906464,40.70954336,80
2022-01-04 19:00:00,615,1563.0,0,-112.24906464,40.70954336,80
2022-01-04 20:00:00,615,1138.0,0,-112.24906464,40.70954336,80
2022-01-04 21:00:00,615,963.0,0,-112.24906464,40.70954336,80
2022-01-04 22:00:00,615,684.0,0,-112.24906464,40.70954336,80
2022-01-04 23:00:00,615,426.0,0,-112.24906464,40.70954336,80
2022-01-05 00:00:00,615,326.0,0,-112.24906464,40.70954336,80
2022-01-05 01:00:00,615,251.0,0,-112.24906464,40.70954336,80
2022-01-05 02:00:00,615,249.0,0,-112.24906464,40.70954336,80
2022-01-05 03:00:00,615,400.0,0,-112.24906464,40.70954336,80
2022-01-05 04:00:00,615,866.0,0,-112.24906464,40.70954336,80
2022-01-05 05:00:00,615,2094.0,0,-112.24906464,40.70954336,80
2022-01-05 06:00:00,615,3276.0,0,-112.24906464,40.70954336,80
2022-01-05 07:00:00,615,3519.0,0,-112.24906464,40.70954336,80
2022-01-05 08:00:00,615,2885.0,0,-112.24906464,40.70954336,80
2022-01-05 09:00:00,615,2255.0,0,-112.24906464,40.70954336,80
2022-01-05 10:00:00,615,1966.0,0,-112.24906464,40.70954336,80
2022-01-05 11:00:00,615,2061.0,0,-112.24906464,40.70954336,80
2022-01-05 12:00:00,615,2200.0,0,-112.24906464,40.70954336,80
2022-01-05 13:00:00,615,2230.0,0,-112.24906464,40.70954336,80
2022-01-05 14:00:00,615,2619.0,0,-112.24906464,40.70954336,80
2022-01-05 15:00:00,615,3469.0,0,-112.24906464,40.70954336,80
2022-01-05 16:00:00,615,4168.0,0,-112.24906464,40.70954336,80
2022-01-05 17:00:00,615,4128.0,0,-112.24906464,40.70954336,80
2022-01-05 18:00:00,615,2725.0,0,-112.24906464,40.70954336,80
2022-01-05 19:00:00,615,1647.0,0,-112.24906464,40.70954336,80
2022-01-05 20:00:00,615,1150.0,0,-112.24906464,40.70954336,80
2022-01-05 21:00:00,615,954.0,0,-112.24906464,40.70954336,80
2022-01-05 22:00:00,615,646.0,0,-112.24906464,40.70954336,80
2022-01-05 23:00:00,615,402.0,0,-112.24906464,40.70954336,80
2022-01-06 00:00:00,615,332.0,0,-112.24906464,40.70954336,80
2022-01-06 01:00:00,615,239.0,0,-112.24906464,40.70954336,80
2022-01-06 02:00:00,615,249.0,0,-112.24906464,40.70954336,80
2022-01-06 03:00:00,615,348.0,0,-112.24906464,40.70954336,80
2022-01-06 04:00:00,615,875.0,0,-112.24906464,40.70954336,80
2022-01-06 05:00:00,615,2040.0,0,-112.24906464,40.70954336,80
2022-01-06 06:00:00,615,3180.0,0,-112.24906464,40.70954336,80
2022-01-06 07:00:00,615,3508.0,0,-112.24906464,40.70954336,80
2022-01-06 08:00:00,615,2874.0,0,-112.24906464,40.70954336,80
2022-01-06 09:00:00,615,2385.0,0,-112.24906464,40.70954336,80
2022-01-06 10:00:00,615,2113.0,0,-112.24906464,40.70954336,80
2022-01-06 11:00:00,615,2156.0,0,-112.24906464,40.70954336,80
2022-01-06 12:00:00,615,2332.0,0,-112.24906464,40.70954336,80
2022-01-06 13:00:00,615,2423.0,0,-112.24906464,40.70954336,80
2022-01-06 14:00:00,615,2785.0,0,-112.24906464,40.70954336,80
2022-01-06 15:00:00,615,3624.0,0,-112.24906464,40.70954336,80
2022-01-06 16:00:00,615,4365.0,0,-112.24906464,40.70954336,80
2022-01-06 17:00:00,615,4326.0,0,-112.24906464,40.70954336,80
2022-01-06 18:00:00,615,2882.0,0,-112.24906464,40.70954336,80
2022-01-06 19:00:00,615,1806.0,0,-112.24906464,40.70954336,80
2022-01-06 20:00:00,615,1308.0,0,-112.24906464,40.70954336,80
2022-01-06 21:00:00,615,1093.0,0,-112.24906464,40.70954336,80
2022-01-06 22:00:00,615,781.0,0,-112.24906464,40.70954336,80
2022-01-06 23:00:00,615,459.0,0,-112.24906464,40.70954336,80
2022-01-07 00:00:00,615,319.0,0,-112.24906464,40.70954336,80
2022-01-07 01:00:00,615,229.0,0,-112.24906464,40.70954336,80
